,Brand,Model_new,CC
621,ROYAL ENFIELD,CLASSIC 350,350.0
628,SUZUKI,ACCESS 125,124.0
631,HERO,PASSION PRO,110.0
632,TVS,SPORT,110.0
634,HONDA,SHINE,125.0
638,TVS,JUPITER ZX,110.0
640,TVS,APACHE RTR160,160.0
642,SUZUKI,ACCESS 125,124.0
643,BAJAJ,PULSAR 150,150.0
644,TVS,JUPITER,110.0
645,HONDA,DIO,110.0
651,HONDA,ACTIVA,110.0
652,TVS,JUPITER,110.0
654,HONDA,SHINE,125.0
657,SUZUKI,ACCESS 125,124.0
665,TVS,SCOOTY PEP PLUS,88.0
669,TVS,SCOOTY PEP PLUS,88.0
672,SUZUKI,ACCESS 125,124.0
680,HONDA,CB UNICORN 160,150.0
681,HONDA,DIO,110.0
682,HONDA,DIO,110.0
683,BAJAJ,PULSAR 220,220.0
684,BAJAJ,PULSAR 150,150.0
686,TVS,APACHE RTR160,160.0
687,TVS,JUPITER,110.0
688,TVS,JUPITER,110.0
690,TVS,JUPITER,110.0
695,HERO,PASSION PRO,110.0
698,TVS,JUPITER,110.0
700,TVS,APACHE RTR160,160.0
701,TVS,JUPITER,110.0
706,HONDA,CB UNICORN 160,150.0
709,SUZUKI,ACCESS 125,124.0
710,BAJAJ,PULSAR 150,150.0
712,TVS,JUPITER ZX,110.0
714,HONDA,DIO,110.0
715,HONDA,ACTIVA 125,125.0
716,HONDA,SHINE,125.0
718,ROYAL ENFIELD,CLASSIC 350,350.0
721,HONDA,CB UNICORN 160,150.0
727,BAJAJ,PULSAR 150,150.0
730,HONDA,DIO,110.0
731,TVS,JUPITER,110.0
733,HONDA,DIO,110.0
736,TVS,JUPITER,110.0
741,TVS,JUPITER,110.0
743,HERO,HF DELUXE,97.0
746,TVS,JUPITER,110.0
748,HERO,PASSION PRO,110.0
750,HONDA,DIO,110.0
751,TVS,SCOOTY PEPPLUS,88.0
758,YAMAHA,FZS,149.0
761,TVS,APACHE RTR160,160.0
762,SUZUKI,ACCESS 125,124.0
766,HERO,HF DELUXE,97.0
771,YAMAHA,FZS,149.0
772,TVS,JUPITER,110.0
774,BAJAJ,PULSAR 220,220.0
776,BAJAJ,PULSAR 150,150.0
777,TVS,JUPITER ZX,110.0
778,TVS,APACHE RTR160,160.0
779,ROYAL ENFIELD,CLASSIC 350,350.0
780,HONDA,CB UNICORN 160,150.0
781,ROYAL ENFIELD,CLASSIC 350,350.0
783,BAJAJ,PULSAR 150,150.0
786,TVS,JUPITER,110.0
788,TVS,JUPITER,110.0
791,HONDA,AVIATOR,110.0
792,ROYAL ENFIELD,CLASSIC 350,350.0
793,ROYAL ENFIELD,CLASSIC 350,350.0
794,HONDA,DIO,110.0
799,TVS,JUPITER,110.0
800,HONDA,ACTIVA 125,125.0
802,BAJAJ,CT 100,102.0
803,TVS,JUPITER ZX,110.0
804,TVS,JUPITER,110.0
805,SUZUKI,ACCESS 125,124.0
807,HONDA,DIO,110.0
811,TVS,JUPITER,110.0
812,TVS,JUPITER,110.0
814,HERO,HF DELUXE,97.0
815,ROYAL ENFIELD,CLASSIC 350,350.0
818,HONDA,DIO,110.0
821,HONDA,SHINE,125.0
824,HONDA,ACTIVA 125,125.0
825,HONDA,AVIATOR,110.0
826,HERO,SPLENDOR PLUS,97.0
828,YAMAHA,FZS,149.0
829,ROYAL ENFIELD,CLASSIC 350,350.0
831,TVS,SPORT,110.0
832,HERO,HF DELUXE,97.0
834,TVS,JUPITER,110.0
837,YAMAHA,FASCINO,113.0
839,TVS,SCOOTY PEP PLUS,88.0
840,TVS,SCOOTY PEPPLUS,88.0
841,HERO,SPLENDOR PLUS,97.0
844,BAJAJ,PULSAR 220,220.0
846,TVS,JUPITER,110.0
847,TVS,APACHE RTR160,160.0
849,TVS,JUPITER,110.0
850,TVS,SCOOTY PEPPLUS,88.0
852,TVS,JUPITER,110.0
853,HERO,HF DELUXE,97.0
855,HONDA,DIO,110.0
858,YAMAHA,FZS,149.0
864,TVS,JUPITER,110.0
865,HERO,PASSION PRO,110.0
867,TVS,APACHE RTR160,160.0
875,BAJAJ,PULSAR 150,150.0
876,HONDA,CB UNICORN 160,150.0
877,TVS,SPORT,110.0
878,BAJAJ,PULSAR 220,220.0
880,HONDA,ACTIVA 125,125.0
883,HERO,HF DELUXE,97.0
885,SUZUKI,ACCESS 125,124.0
886,BAJAJ,PULSAR 150,150.0
891,TVS,APACHE RTR160,160.0
894,BAJAJ,PULSAR 220,220.0
896,TVS,JUPITER,110.0
899,HERO,SPLENDOR PLUS,97.0
900,TVS,JUPITER,110.0
901,TVS,JUPITER,110.0
902,HONDA,AVIATOR,110.0
903,TVS,JUPITER,110.0
906,HERO,HF DELUXE,97.0
907,TVS,JUPITER,110.0
909,HONDA,ACTIVA 125,125.0
910,TVS,JUPITER,110.0
912,ROYAL ENFIELD,CLASSIC 350,350.0
913,HERO,SPLENDOR PLUS,97.0
914,HERO,HF DELUXE,97.0
921,HERO,SPLENDOR PLUS,97.0
924,TVS,JUPITER,110.0
925,YAMAHA,FASCINO,113.0
926,ROYAL ENFIELD,CLASSIC 350,350.0
930,BAJAJ,CT 100,102.0
931,HONDA,DIO,110.0
932,HONDA,CB UNICORN 160,150.0
937,HONDA,ACTIVA 125,125.0
938,SUZUKI,ACCESS 125,124.0
941,TVS,SCOOTY PEP PLUS,88.0
946,TVS,SCOOTY PEPPLUS,88.0
949,HONDA,ACTIVA 125,125.0
951,BAJAJ,PULSAR 150,150.0
954,SUZUKI,ACCESS 125,124.0
955,HONDA,DIO,110.0
956,YAMAHA,FZS,149.0
960,HERO,SPLENDOR PLUS,97.0
